# A, B, C, D, E
0.020,2.673,0.741,-2.565,-2.878
0.000,0.308,-0.606,-0.414,-0.661
0.000,0.086,0.162,-0.558,-0.352
0.000,0.000,0.000,0.000,0.000
0.005,0.018,-0.020,-0.364,-0.272
0.005,0.010,0.343,-0.490,-0.697
0.010,0.000,0.288,-0.096,-0.399
0.015,0.020,-1.157,-0.753,-0.926
0.010,0.000,0.035,-0.258,-0.302
0.005,0.010,0.020,-1.152,-0.743
0.000,0.013,-0.308,-0.212,-0.268
0.030,0.005,-0.515,-0.480,-0.632
0.005,0.000,0.197,-0.111,-0.100
0.104,0.013,-0.813,-0.379,-0.888
0.010,0.015,-0.399,-0.247,-0.241
0.000,0.000,0.000,0.000,0.000
0.005,0.000,0.419,-0.333,-0.468
0.066,0.010,-0.485,-0.348,-0.535
0.000,0.000,0.000,0.000,0.000
0.157,0.005,-0.682,-0.197,-0.828
0.222,0.015,-0.535,-0.429,-0.758
0.583,0.025,-1.439,-1.179,-1.607
0.162,0.000,-0.414,-0.449,-0.414
0.220,0.023,-0.833,-0.578,-0.566
0.616,0.051,-1.359,-1.561,-1.320
0.247,0.027,-0.732,-0.997,-1.018
0.384,0.005,-0.253,-1.308,-1.382
0.547,0.081,-1.594,-2.215,-2.404
0.439,0.025,-0.672,-0.864,-1.185
0.657,0.076,-1.838,-2.000,-1.743
1.534,0.103,-2.460,-2.320,-2.903
1.110,0.083,-2.154,-1.894,-2.156
0.988,0.057,-1.611,-1.914,-1.805
1.416,0.072,-1.742,-1.746,-1.654
1.369,0.063,-1.746,-1.673,-2.487
1.221,0.068,-1.772,-1.118,-1.564
2.227,0.119,-2.712,-2.136,-2.767
1.167,0.118,-2.311,-1.903,-1.919
1.759,0.140,-2.356,-2.241,-2.295
1.888,0.102,-1.637,-1.814,-2.791
1.504,0.110,-1.511,-1.626,-1.317
1.772,0.161,-2.449,-1.740,-2.580
2.042,0.135,-2.183,-2.375,-2.383
1.528,0.155,-2.293,-2.624,-3.246
1.966,0.169,-2.260,-2.868,-2.859
2.209,0.167,-2.050,-1.632,-2.402
2.262,0.187,-2.426,-2.862,-3.220
1.684,0.160,-1.722,-2.212,-2.320
2.070,0.237,-2.565,-2.520,-2.759
2.031,0.158,-2.098,-2.529,-2.769
1.843,0.216,-2.168,-2.162,-2.526
1.537,0.198,-1.999,-2.132,-2.364
1.532,0.189,-1.925,-1.949,-2.337
2.718,0.210,-1.891,-2.869,-2.659
2.656,0.323,-3.207,-2.755,-2.801
2.143,0.223,-1.975,-1.587,-2.907
2.646,0.344,-3.128,-2.601,-3.144
2.660,0.272,-2.399,-2.593,-3.420
2.024,0.181,-1.561,-1.778,-2.510
2.429,0.312,-2.522,-2.604,-2.336
2.068,0.260,-1.937,-2.345,-2.690
2.007,0.268,-2.101,-1.645,-2.297
1.862,0.287,-2.003,-2.529,-2.694
2.098,0.327,-2.253,-2.243,-2.319
2.381,0.362,-2.490,-2.727,-3.060
2.659,0.277,-1.873,-2.947,-2.911
2.122,0.286,-1.954,-2.412,-2.033
2.396,0.298,-1.816,-2.403,-2.335
2.242,0.342,-2.179,-1.638,-2.986
2.858,0.452,-2.698,-2.173,-3.099
2.390,0.431,-2.603,-2.478,-2.362
2.282,0.227,-1.270,-1.984,-2.176
1.935,0.270,-1.663,-1.999,-2.682
2.591,0.323,-1.898,-2.178,-3.290
1.980,0.332,-1.852,-2.181,-2.694
3.252,0.362,-1.967,-2.536,-3.822
2.243,0.284,-1.590,-1.984,-2.108
2.005,0.369,-2.121,-2.131,-2.301
2.425,0.455,-2.445,-2.479,-2.948
2.024,0.350,-1.843,-2.002,-2.332
2.300,0.313,-1.685,-2.423,-3.301
2.792,0.490,-2.499,-2.844,-3.419
2.402,0.527,-2.635,-2.039,-3.012
2.085,0.449,-1.959,-2.351,-2.979
2.171,0.462,-2.202,-2.691,-2.786
2.352,0.525,-2.407,-1.913,-2.923
1.884,0.552,-2.434,-2.259,-2.877
2.118,0.396,-1.838,-2.579,-3.100
2.261,0.388,-1.632,-2.713,-3.730
2.456,0.506,-2.352,-2.057,-2.700
2.795,0.495,-2.081,-2.358,-2.913
2.096,0.504,-2.219,-2.259,-2.684
2.499,0.573,-2.436,-2.872,-2.922
2.473,0.560,-2.332,-2.769,-3.149
1.943,0.438,-1.730,-1.935,-2.759
3.515,0.697,-2.755,-2.665,-3.162
2.775,0.489,-2.197,-2.010,-2.649
2.293,0.475,-1.847,-2.298,-3.203
2.736,0.693,-2.538,-3.058,-2.825
2.446,0.759,-3.005,-2.777,-3.175
3.062,0.654,-2.522,-2.592,-3.035
2.200,0.427,-1.692,-2.093,-2.709
2.119,0.532,-2.031,-2.162,-3.065
2.645,0.715,-2.705,-1.955,-3.228
2.456,0.612,-2.350,-2.080,-2.697
2.306,0.697,-2.498,-2.205,-2.376
2.141,0.690,-2.437,-2.499,-2.406
2.280,0.742,-2.700,-2.695,-3.139
2.221,0.424,-1.127,-2.807,-3.068
2.630,0.678,-2.317,-3.111,-3.000
1.863,0.596,-1.836,-2.663,-2.602
2.527,0.778,-2.727,-2.678,-2.541
2.544,0.533,-1.701,-2.621,-2.926
2.757,0.563,-1.774,-2.369,-2.764
2.694,0.553,-1.816,-2.584,-2.971
2.048,0.577,-1.741,-1.878,-2.188
2.879,0.849,-2.768,-2.939,-2.537
3.022,0.680,-2.099,-2.481,-3.090
2.342,0.825,-2.627,-2.586,-3.110
1.890,0.664,-2.030,-2.799,-2.907
2.303,0.833,-2.552,-1.955,-2.889
2.310,0.733,-2.164,-2.154,-2.780
2.622,0.649,-1.790,-2.502,-2.982
1.773,0.720,-2.078,-2.684,-2.702
2.932,0.897,-2.697,-2.472,-2.975
2.765,0.855,-2.562,-2.273,-2.892
1.891,0.959,-2.769,-2.587,-3.198
2.441,0.874,-2.427,-2.830,-2.792
3.023,0.748,-2.212,-1.604,-2.770
2.156,0.512,-1.062,-2.805,-3.026
1.958,0.696,-1.959,-2.446,-2.324
2.243,0.922,-2.843,-1.791,-2.920
2.409,0.895,-2.512,-2.690,-2.884
2.367,0.736,-1.895,-2.671,-2.786
2.405,1.018,-2.866,-2.477,-3.005
2.788,0.865,-2.153,-2.601,-3.052
2.155,0.863,-2.268,-2.404,-2.646
1.783,0.655,-1.538,-2.064,-2.398
2.501,0.843,-2.205,-2.504,-2.808
3.088,0.949,-2.381,-2.563,-2.913
2.168,0.645,-1.555,-2.008,-2.782
2.488,0.845,-2.087,-2.730,-2.974
1.783,0.845,-2.179,-2.576,-2.884
1.840,1.161,-2.939,-2.198,-2.502
2.773,1.045,-2.418,-2.782,-2.731
2.759,1.046,-2.531,-2.763,-2.564
2.508,0.992,-2.428,-2.552,-2.796
2.209,0.874,-2.052,-2.588,-2.394
2.218,0.864,-2.083,-2.303,-2.640
2.244,0.980,-2.281,-2.533,-2.714
2.368,1.117,-2.641,-2.484,-2.933
1.994,0.831,-1.656,-2.885,-2.809
1.932,0.817,-1.880,-2.192,-2.865
2.505,0.909,-2.013,-2.900,-2.171
2.063,0.910,-2.053,-2.311,-2.789
2.647,0.956,-2.217,-2.029,-2.773
2.394,0.914,-1.798,-2.851,-3.277
2.663,0.926,-1.846,-2.748,-3.307
2.207,1.166,-2.582,-2.482,-2.989
2.793,1.067,-2.323,-2.463,-3.115
2.342,0.891,-1.840,-2.735,-2.516
2.908,1.081,-2.176,-2.598,-3.206
2.628,1.090,-2.320,-1.778,-3.102
2.331,1.263,-2.682,-2.686,-3.197
2.185,1.205,-2.558,-2.416,-3.370
1.891,1.133,-2.140,-2.763,-2.579
2.246,0.955,-1.842,-2.329,-2.477
2.403,1.085,-2.064,-2.237,-3.271
2.032,0.870,-1.621,-2.284,-2.670
2.515,0.864,-1.597,-2.454,-3.014
1.992,0.906,-1.733,-2.250,-2.653
2.281,1.331,-2.599,-2.410,-2.961
2.532,1.062,-2.036,-2.487,-2.824
3.165,1.228,-2.483,-2.571,-3.048
2.961,1.246,-2.477,-2.385,-3.131
2.215,0.858,-1.437,-2.204,-3.102
2.689,1.282,-2.529,-2.071,-3.213
2.607,1.472,-2.828,-2.340,-2.972
2.224,1.194,-2.031,-2.573,-2.972
2.456,0.967,-1.702,-2.016,-2.525
2.113,1.207,-2.120,-2.458,-2.812
2.155,1.151,-1.914,-2.231,-2.804
2.787,0.999,-1.479,-2.677,-3.059
2.272,1.103,-1.763,-2.678,-2.895
2.431,1.323,-2.187,-2.954,-3.261
2.660,1.173,-2.071,-2.282,-2.624
2.526,1.153,-1.828,-2.687,-2.698
2.437,1.522,-2.519,-3.098,-2.947
2.711,1.043,-1.537,-2.544,-3.485
2.206,1.321,-2.062,-2.436,-3.060
2.247,1.035,-1.584,-2.337,-2.885
2.616,1.296,-1.968,-2.575,-3.045
2.391,1.294,-2.147,-2.304,-3.061
2.782,1.621,-2.689,-2.747,-3.009
2.619,1.744,-2.852,-2.800,-3.249
3.117,1.585,-2.809,-1.878,-2.974
2.067,1.051,-1.426,-2.466,-3.076
2.310,1.461,-2.128,-3.190,-3.301
1.864,1.146,-1.503,-2.810,-2.908
2.365,1.189,-1.681,-2.308,-2.731
2.513,1.452,-2.268,-2.229,-2.811
2.657,1.768,-2.760,-2.934,-2.963
1.880,1.212,-1.736,-2.810,-3.073
2.727,1.566,-2.361,-2.701,-3.202
2.266,1.288,-1.692,-2.939,-2.821
2.198,1.006,-1.480,-1.812,-2.285
2.527,1.234,-1.452,-2.998,-2.924
2.286,1.361,-1.924,-2.315,-2.646
2.064,1.449,-1.819,-3.091,-3.106
2.314,1.627,-2.424,-2.574,-3.002
2.244,1.451,-1.961,-2.594,-2.772
2.023,1.101,-1.190,-2.650,-2.592
2.238,1.617,-2.402,-2.520,-3.133
2.630,1.547,-2.143,-2.684,-2.739
1.999,1.347,-1.799,-2.177,-2.594
2.457,1.637,-2.236,-2.770,-3.167
2.053,1.532,-2.043,-2.658,-2.760
3.007,1.494,-2.215,-2.285,-3.157
2.399,1.788,-2.656,-2.310,-3.294
2.640,1.532,-1.939,-2.833,-2.985
2.439,1.557,-1.864,-3.028,-3.293
2.257,1.615,-2.215,-2.420,-3.043
2.391,1.542,-2.002,-2.414,-2.774
2.471,1.625,-2.274,-2.236,-2.822
2.739,1.526,-1.872,-2.679,-2.778
3.039,1.424,-1.707,-2.682,-3.070
2.755,1.726,-2.006,-2.929,-2.733
2.296,1.883,-2.469,-2.741,-2.845
2.227,1.510,-1.969,-2.519,-3.128
2.650,1.641,-2.010,-2.689,-3.048
2.328,1.882,-2.391,-2.836,-2.773
2.745,1.364,-1.263,-2.961,-2.958
2.745,1.998,-2.588,-2.468,-2.969
2.301,1.421,-1.691,-2.210,-2.596
2.266,1.682,-2.188,-2.001,-2.857
2.275,1.327,-1.334,-2.386,-2.559
1.969,1.754,-2.098,-2.627,-2.908
2.235,1.366,-1.408,-2.542,-2.610
2.531,1.772,-2.018,-2.689,-3.003
2.356,1.812,-2.130,-2.552,-3.042
1.959,1.972,-2.237,-3.019,-2.730
2.649,1.806,-2.067,-2.128,-3.200
2.137,1.773,-1.840,-2.786,-3.290
2.976,1.835,-1.932,-2.845,-3.021
2.761,1.684,-1.727,-2.756,-3.033
2.365,1.867,-2.180,-2.563,-3.132
2.674,1.654,-1.553,-2.767,-3.036
2.600,1.958,-2.183,-2.819,-3.036
2.379,1.743,-1.793,-2.726,-2.915
2.352,2.118,-2.414,-2.701,-2.810
2.349,1.917,-2.085,-2.583,-2.522
2.161,1.779,-1.979,-2.297,-3.048
2.766,1.805,-1.714,-2.525,-3.163
2.305,1.505,-1.516,-2.255,-2.515
2.280,1.740,-1.687,-2.670,-3.031
1.937,1.494,-1.674,-1.999,-2.724
2.619,1.868,-1.934,-2.531,-2.873
2.760,1.976,-1.826,-3.221,-3.307
2.408,1.877,-1.821,-2.547,-3.054
2.466,1.720,-1.742,-2.416,-2.908
2.357,1.763,-1.597,-2.946,-2.945
2.598,2.130,-2.234,-2.547,-2.841
2.831,1.949,-1.806,-2.940,-2.746
2.928,1.677,-1.279,-2.978,-3.123
2.714,2.094,-2.025,-2.807,-2.936
2.574,1.906,-1.904,-2.579,-3.215
2.670,1.621,-1.363,-2.673,-3.311
2.841,1.511,-1.136,-2.764,-2.840
2.939,2.229,-2.314,-2.528,-2.983
2.332,2.310,-2.351,-2.598,-2.928
2.509,1.770,-1.789,-2.208,-3.326
2.488,2.115,-2.221,-2.276,-2.977
1.966,2.241,-2.190,-2.513,-3.198
2.399,2.151,-1.945,-2.918,-2.779
2.454,2.039,-1.840,-2.670,-2.981
2.328,2.115,-1.925,-2.659,-3.002
2.200,2.181,-2.181,-2.300,-3.123
2.692,2.068,-1.626,-3.080,-3.008
2.723,1.919,-1.474,-2.721,-2.680
2.136,2.354,-2.223,-2.680,-2.977
2.314,1.885,-1.282,-3.061,-3.039
2.310,2.227,-2.035,-2.442,-3.186
2.418,1.869,-1.507,-2.531,-3.186
2.648,2.414,-2.216,-2.762,-3.126
2.034,1.938,-1.414,-2.959,-3.302
2.416,1.854,-1.337,-3.070,-2.769
2.144,2.322,-1.958,-2.655,-2.852
2.496,1.978,-1.493,-2.530,-2.729
2.283,2.079,-1.707,-2.399,-2.871
2.501,2.112,-1.724,-2.673,-2.843
2.679,1.972,-1.484,-2.462,-2.865
2.810,2.259,-1.546,-3.166,-3.230
2.479,2.267,-1.580,-3.081,-2.923
2.632,1.996,-1.414,-2.597,-2.881
2.595,2.377,-2.226,-2.351,-2.956
2.519,2.191,-1.695,-2.601,-3.211
2.477,2.000,-1.480,-2.595,-3.021
2.636,2.412,-1.723,-3.007,-3.361
1.929,2.418,-2.203,-2.212,-2.850
2.618,1.907,-1.657,-1.844,-2.550
2.361,2.193,-1.393,-2.739,-3.390
2.593,1.854,-1.147,-2.717,-2.884
2.626,2.182,-1.524,-2.643,-2.574
2.427,2.154,-1.558,-2.580,-2.746
2.320,2.288,-1.837,-2.546,-2.955
2.332,2.254,-1.463,-2.940,-2.954
2.684,2.185,-1.529,-2.431,-2.838
3.132,2.110,-1.700,-2.057,-2.681
2.826,2.165,-1.241,-3.075,-2.683
2.797,2.367,-1.758,-2.670,-2.703
2.761,2.331,-1.636,-2.678,-3.097
2.588,1.835,-0.592,-3.212,-2.794
2.378,2.145,-1.318,-2.579,-2.992
2.158,2.089,-1.085,-2.755,-2.518
2.671,2.544,-1.998,-2.485,-2.848
2.409,2.423,-1.764,-2.452,-3.045
2.215,2.266,-1.596,-2.647,-3.107
2.294,2.225,-1.304,-2.658,-3.488
2.532,2.322,-1.711,-2.492,-3.009
1.982,2.154,-1.210,-2.633,-2.858
2.332,2.641,-1.971,-2.728,-2.939
2.390,2.509,-1.760,-2.799,-3.209
2.348,2.559,-1.692,-2.662,-2.728
2.170,2.240,-1.475,-2.285,-3.025
2.549,1.873,-1.314,-1.856,-2.749
2.847,2.272,-1.315,-2.695,-2.900
2.661,2.172,-1.180,-2.650,-3.090
2.737,2.228,-1.242,-2.768,-3.007
2.454,2.490,-1.667,-2.405,-2.887
2.374,2.075,-1.055,-2.633,-2.914
2.640,2.691,-2.087,-2.286,-2.743
2.741,2.427,-1.433,-2.689,-3.091
2.500,2.300,-1.325,-2.386,-3.338
2.890,2.413,-1.304,-2.877,-3.106
2.444,2.178,-1.148,-2.722,-2.928
2.306,2.453,-1.492,-2.655,-2.878
2.595,2.622,-1.485,-2.732,-3.136
2.375,2.041,-1.006,-2.276,-3.302
2.855,2.280,-1.175,-2.391,-3.331
2.641,2.370,-1.116,-2.757,-3.158
2.235,2.315,-1.554,-2.149,-2.878
2.583,2.151,-0.827,-2.819,-3.328
2.557,2.231,-0.909,-2.645,-3.024
2.401,1.933,-0.812,-2.306,-3.049
2.671,2.349,-1.087,-2.431,-3.138
2.831,2.548,-1.303,-2.635,-3.199
2.667,1.952,-0.473,-2.871,-2.831
2.575,2.657,-1.394,-2.717,-3.008
2.612,2.416,-1.069,-2.829,-3.188
2.570,2.718,-1.521,-2.573,-3.046
1.988,2.091,-0.642,-2.722,-3.131
2.650,2.672,-1.287,-2.671,-2.945
2.893,2.817,-1.506,-2.646,-3.217
2.447,2.527,-1.353,-2.388,-2.971
2.583,2.547,-1.331,-2.495,-2.988
2.369,2.403,-0.924,-2.652,-2.977
2.791,2.326,-1.204,-2.059,-3.158
2.809,2.135,-0.817,-2.273,-3.249
2.409,2.674,-1.351,-2.665,-2.988
3.044,2.362,-0.870,-2.721,-3.061
2.549,2.411,-1.076,-2.390,-2.967
2.331,2.043,-0.730,-2.396,-2.776
2.646,2.343,-1.105,-2.233,-2.625
2.776,2.464,-0.907,-2.694,-3.033
2.325,1.948,-0.395,-2.634,-2.887
2.383,2.415,-0.978,-2.399,-3.074
2.530,2.220,-0.773,-2.438,-3.245
2.319,2.648,-1.195,-2.480,-2.769
2.463,2.506,-1.072,-2.438,-3.031
2.729,2.631,-1.194,-2.416,-2.813
2.066,2.356,-0.789,-2.641,-2.956
2.455,2.391,-1.042,-2.229,-3.134
2.778,2.657,-1.211,-2.653,-2.809
2.774,2.553,-0.925,-2.679,-3.082
2.751,2.233,-0.761,-2.411,-3.114
2.234,2.363,-0.787,-2.395,-3.284
2.547,2.580,-0.917,-2.535,-3.332
2.628,2.334,-1.067,-1.959,-2.905
2.550,2.391,-0.809,-2.444,-3.017
2.420,2.712,-0.903,-2.924,-2.964
2.550,2.527,-0.923,-2.388,-2.795
2.645,2.503,-0.694,-2.613,-2.959
2.488,2.365,-0.813,-2.313,-3.185
3.075,2.093,-0.292,-2.586,-3.017
2.566,2.524,-0.907,-2.511,-2.935
2.742,2.538,-0.874,-2.561,-3.002
2.547,2.348,-0.595,-2.588,-3.152
2.830,2.388,-0.597,-2.563,-2.867
2.543,2.217,-0.690,-2.106,-3.242
2.260,2.175,-0.244,-2.661,-3.405
2.547,2.322,-0.594,-2.415,-3.288
2.934,2.561,-0.586,-2.668,-3.175
2.760,2.700,-0.820,-2.542,-2.672
2.466,2.430,-0.635,-2.391,-3.075
2.549,2.516,-0.718,-2.443,-3.075
2.373,2.146,-0.254,-2.505,-2.933
2.636,2.444,-0.837,-2.176,-2.888
2.412,2.488,-0.860,-2.098,-2.853
2.204,2.495,-0.466,-2.794,-2.709
2.717,2.336,-0.713,-2.192,-2.786
2.456,2.658,-0.676,-2.542,-3.004
1.917,2.064,-0.427,-2.061,-2.518
2.933,2.276,-0.181,-2.619,-2.945
2.283,2.415,-0.599,-2.260,-3.058
2.294,2.400,-0.402,-2.431,-3.170
2.706,2.328,-0.313,-2.535,-2.944
2.527,2.383,-0.204,-2.802,-2.954
2.691,2.680,-0.725,-2.453,-3.316
2.565,2.354,-0.065,-2.652,-2.972
2.547,2.161,-0.050,-2.444,-3.267
2.305,2.449,-0.368,-2.350,-3.012
2.462,2.503,-0.411,-2.471,-3.161
2.494,2.554,-0.288,-2.611,-3.028
2.138,2.969,-0.530,-2.895,-3.232
2.642,2.344,-0.175,-2.370,-3.140
2.654,2.496,-0.636,-2.174,-2.981
2.591,2.632,-0.467,-2.419,-2.855
2.595,2.541,-0.350,-2.501,-2.627
2.402,2.432,-0.239,-2.537,-2.984
2.815,2.786,-0.390,-2.784,-3.181
2.250,2.619,-0.186,-2.690,-2.965
2.301,2.554,-0.321,-2.472,-3.279
2.637,2.244,0.259,-2.940,-3.064
2.729,2.556,-0.184,-2.572,-3.316
2.879,2.575,-0.367,-2.341,-3.013
2.579,2.806,-0.618,-2.473,-3.222
2.647,2.539,-0.513,-2.206,-2.933
2.409,1.826,0.474,-2.348,-2.736
2.441,2.130,0.467,-2.725,-3.260
2.431,2.470,-0.028,-2.712,-3.034
2.315,2.474,-0.028,-2.600,-3.000
2.188,2.473,0.126,-2.720,-2.802
2.222,2.743,0.118,-2.952,-3.085
2.402,2.700,-0.352,-2.470,-3.030
2.445,2.907,-0.422,-2.525,-2.958
2.707,2.439,0.105,-2.501,-3.065
2.732,2.566,-0.006,-2.717,-2.852
2.207,2.172,0.438,-2.620,-3.141
2.867,1.993,0.616,-2.773,-3.006
2.214,2.432,0.090,-2.592,-2.991
2.549,2.307,-0.054,-2.262,-2.810
2.493,2.872,-0.139,-2.783,-2.739
2.456,2.560,0.063,-2.486,-3.095
2.713,2.380,0.353,-2.681,-3.019
2.643,2.405,0.196,-2.484,-3.022
2.530,2.228,0.730,-3.132,-2.926
2.483,2.866,-0.344,-2.434,-3.167
2.710,2.123,0.492,-2.656,-2.893
2.569,2.444,0.401,-2.745,-3.099
2.332,2.107,0.612,-2.652,-2.904
2.514,2.730,0.273,-2.838,-3.372
2.237,2.422,-0.001,-2.202,-2.921
2.734,2.580,0.273,-2.762,-3.041
2.091,2.320,0.327,-2.445,-2.634
2.206,2.270,0.043,-2.256,-2.583
2.598,2.697,0.042,-2.436,-3.037
2.092,2.221,0.453,-2.367,-2.561
2.435,2.370,0.256,-2.532,-3.083
2.369,2.372,0.520,-2.628,-3.222
2.574,2.124,0.682,-2.594,-2.900
2.472,2.240,0.736,-2.807,-2.605
2.761,2.324,0.299,-2.443,-2.591
2.465,2.528,0.191,-2.377,-2.915
2.548,2.666,-0.100,-2.138,-3.086
2.477,2.401,0.467,-2.512,-3.080
2.627,2.603,0.332,-2.617,-2.803
2.443,2.583,0.061,-2.227,-2.885
2.551,2.640,0.095,-2.231,-3.208
2.602,2.734,0.240,-2.530,-3.011
2.150,2.481,0.586,-2.620,-2.869
2.378,2.390,0.730,-2.684,-3.087
2.252,2.436,0.715,-2.808,-2.965
2.293,2.630,0.381,-2.664,-2.850
2.570,2.285,0.813,-2.555,-2.918
2.792,2.841,-0.113,-2.169,-3.134
2.919,2.770,0.244,-2.411,-2.900
2.346,2.651,0.241,-2.423,-3.212
2.295,2.667,0.640,-2.668,-3.096
2.407,2.310,0.559,-2.366,-2.861
2.598,2.523,0.567,-2.459,-3.368
2.412,2.268,0.885,-2.659,-3.060
2.298,2.558,0.549,-2.522,-2.840
2.772,2.401,0.579,-2.534,-3.045
2.350,2.944,-0.228,-2.154,-2.838
2.498,2.810,0.167,-2.469,-2.835
2.284,2.626,-0.006,-1.942,-3.034
2.602,2.459,0.418,-2.219,-2.931
2.823,2.436,0.725,-2.576,-3.158
2.663,2.910,0.327,-2.665,-3.159
2.392,2.778,0.241,-2.188,-3.137
2.536,2.637,0.321,-2.360,-2.686
2.507,2.329,0.822,-2.531,-2.776
2.462,2.714,0.836,-2.806,-2.862
