# A, B, C, D, E
2.752,2.428,0.499,-2.334,-2.720
2.775,2.614,0.649,-2.465,-3.041
2.828,2.457,0.917,-2.570,-2.987
2.776,2.638,0.789,-2.735,-2.685
2.348,2.279,1.008,-2.453,-3.049
2.552,2.499,0.872,-2.527,-3.078
2.722,2.668,0.507,-2.314,-2.980
2.751,2.556,0.862,-2.520,-2.905
2.282,2.710,0.500,-2.337,-3.019
2.787,2.727,0.612,-2.346,-3.159
2.699,2.212,1.331,-2.652,-2.826
2.582,2.435,1.093,-2.535,-3.077
2.220,2.653,0.590,-2.349,-3.010
2.310,2.327,0.875,-2.324,-2.978
2.392,2.262,1.080,-2.530,-2.823
2.558,2.386,0.571,-2.100,-2.845
2.566,2.542,1.172,-2.805,-2.918
2.679,2.335,1.332,-2.582,-3.178
2.346,2.757,0.798,-2.541,-2.946
2.510,2.593,1.164,-2.568,-3.248
2.573,2.286,1.130,-2.440,-2.707
2.389,2.304,0.898,-2.235,-2.769
2.443,2.282,1.180,-2.434,-3.010
2.876,2.558,1.017,-2.518,-3.050
2.566,2.363,0.814,-2.205,-2.868
2.814,2.569,1.107,-2.575,-3.058
2.463,2.511,0.782,-2.221,-2.706
2.545,2.675,1.172,-2.843,-2.685
2.574,2.783,1.202,-2.835,-2.939
2.333,1.987,0.877,-1.869,-2.890
2.589,2.407,1.647,-2.806,-3.078
2.600,2.568,1.050,-2.429,-3.006
2.831,2.715,0.983,-2.388,-3.125
2.412,2.328,1.217,-2.357,-2.863
2.616,2.817,0.843,-2.428,-2.868
2.455,2.735,0.938,-2.164,-3.070
2.837,2.715,0.984,-2.416,-2.799
2.165,2.634,1.040,-2.526,-2.933
2.464,2.422,1.550,-2.609,-2.860
2.541,2.822,0.775,-2.295,-3.141
2.236,2.510,1.180,-2.252,-3.116
2.269,2.626,1.161,-2.400,-3.177
3.079,2.315,1.602,-2.596,-2.993
2.566,2.213,1.577,-2.372,-2.983
2.730,2.781,1.007,-2.404,-2.739
2.385,2.803,1.047,-2.472,-2.954
2.740,2.685,1.034,-2.353,-2.886
2.205,2.810,1.414,-2.724,-2.773
2.829,2.601,1.416,-2.546,-3.220
2.530,2.657,1.148,-2.200,-3.199
2.395,2.394,1.790,-2.652,-3.098
2.373,2.470,1.176,-2.169,-2.812
2.350,2.831,1.187,-2.605,-2.823
2.424,2.580,1.492,-2.445,-3.176
2.815,2.595,1.386,-2.299,-3.252
2.588,2.870,1.225,-2.587,-2.791
2.890,2.629,1.270,-2.302,-3.000
2.466,2.521,1.837,-2.692,-3.088
2.563,2.404,1.662,-2.552,-2.852
2.633,2.601,1.492,-2.407,-2.921
2.378,2.897,1.323,-2.520,-2.845
2.509,2.582,1.463,-2.305,-3.076
2.503,2.640,1.022,-2.052,-2.945
2.524,2.960,1.137,-2.296,-3.065
2.601,2.601,1.623,-2.479,-2.988
2.335,2.782,1.469,-2.505,-2.856
2.490,2.550,1.668,-2.475,-3.059
2.791,2.256,1.699,-2.276,-2.785
2.555,2.385,2.042,-2.597,-2.957
2.398,2.614,1.675,-2.552,-2.960
2.558,2.430,1.521,-2.153,-2.939
2.570,2.654,1.641,-2.582,-2.812
2.248,2.037,1.661,-2.124,-2.583
3.020,2.644,1.436,-2.308,-2.861
2.253,2.617,1.409,-2.245,-2.856
2.503,2.622,1.242,-1.984,-3.028
2.497,2.629,1.603,-2.278,-2.921
2.420,3.157,0.904,-2.078,-3.014
2.304,2.521,1.598,-2.370,-2.668
2.690,2.905,1.322,-2.368,-2.652
2.514,2.997,1.328,-2.462,-2.763
2.744,2.422,1.161,-1.783,-2.774
2.576,3.047,1.504,-2.502,-3.052
2.762,2.257,2.008,-2.300,-3.066
2.687,2.267,2.095,-2.400,-3.031
2.166,2.551,1.446,-2.116,-2.757
2.628,2.530,1.734,-2.271,-3.084
2.415,2.532,1.641,-2.242,-2.921
2.353,2.636,1.762,-2.393,-2.970
2.654,2.592,1.319,-1.890,-3.101
2.768,2.655,1.641,-2.198,-3.110
2.412,2.533,1.833,-2.416,-2.809
2.535,3.315,1.375,-2.472,-2.831
2.466,2.773,1.752,-2.366,-3.026
2.714,2.497,1.721,-2.109,-2.789
2.480,2.593,2.101,-2.557,-2.939
2.339,2.809,1.533,-2.071,-3.178
2.512,2.495,1.716,-2.132,-2.861
2.328,2.609,1.766,-2.228,-2.854
2.504,2.960,1.477,-2.171,-2.846
2.759,2.838,1.831,-2.472,-2.585
2.092,2.728,1.554,-2.260,-2.731
2.471,2.906,1.777,-2.499,-2.664
2.508,2.841,1.702,-2.187,-3.097
2.796,2.554,1.801,-2.251,-2.991
2.402,2.672,1.966,-2.283,-2.795
2.381,2.135,1.924,-1.868,-2.917
2.206,2.398,1.916,-2.138,-2.627
2.605,2.274,2.341,-2.352,-3.131
2.692,2.521,1.997,-2.365,-2.616
2.356,2.671,2.042,-2.346,-2.848
2.335,2.719,1.415,-1.952,-2.699
2.428,2.815,2.212,-2.583,-2.781
2.619,2.452,1.364,-1.928,-2.220
2.713,2.941,2.114,-2.448,-2.900
2.300,2.843,1.949,-2.304,-2.936
2.789,2.856,1.813,-2.184,-2.984
2.196,2.664,2.013,-2.199,-2.896
2.479,2.770,2.061,-2.311,-2.837
2.867,2.386,1.637,-1.842,-2.758
2.304,2.931,1.730,-2.342,-2.410
2.083,3.070,1.711,-2.069,-3.056
2.758,3.069,1.811,-2.079,-3.329
2.532,2.572,2.000,-2.139,-2.856
2.479,2.807,2.085,-2.305,-3.034
2.444,2.900,2.344,-2.510,-3.106
2.596,2.797,2.200,-2.223,-3.249
2.914,2.483,1.889,-1.823,-3.064
2.226,2.263,1.957,-2.016,-2.554
2.870,2.929,2.096,-2.418,-2.742
2.592,2.755,0.990,-1.499,-2.438
2.013,2.406,2.472,-2.417,-2.630
2.672,2.657,2.481,-2.316,-3.193
2.424,2.863,1.778,-1.980,-2.877
2.540,2.869,1.799,-1.983,-2.808
2.711,2.730,1.981,-1.994,-2.770
2.262,2.746,1.965,-2.082,-2.862
2.636,2.797,1.714,-1.870,-2.777
2.252,2.958,1.815,-2.145,-2.698
2.420,2.743,1.775,-1.842,-2.986
2.578,2.583,2.162,-2.138,-2.919
2.171,2.766,1.951,-1.870,-3.030
2.034,2.338,1.816,-1.895,-2.285
2.410,2.731,2.277,-2.130,-3.049
2.829,2.907,2.429,-2.341,-3.040
2.579,2.954,1.746,-1.931,-2.785
2.375,2.718,2.327,-2.179,-3.044
2.100,2.854,2.256,-2.211,-2.814
2.540,2.912,2.467,-2.326,-2.886
2.487,2.285,1.983,-1.685,-2.694
2.681,2.985,1.965,-1.977,-2.893
2.438,2.698,2.050,-2.076,-2.710
2.115,3.030,1.578,-1.674,-2.905
2.683,2.587,2.062,-1.858,-2.653
2.381,2.560,2.116,-1.949,-2.594
2.482,2.785,2.103,-2.053,-2.641
2.305,2.950,2.193,-2.006,-3.179
2.619,2.789,2.226,-2.020,-2.738
2.408,3.140,2.111,-2.225,-2.774
2.242,2.980,2.221,-2.009,-2.939
2.380,2.835,1.833,-1.725,-2.610
2.493,2.612,2.458,-1.982,-3.028
2.649,2.419,2.183,-1.902,-2.601
2.797,2.053,2.569,-1.938,-2.799
2.193,2.892,1.964,-1.867,-2.632
2.177,2.890,1.856,-1.887,-2.607
2.496,2.898,2.364,-1.786,-3.326
2.395,2.598,2.515,-2.040,-2.788
2.092,2.739,2.127,-2.140,-2.207
2.411,2.531,2.112,-1.845,-2.641
2.273,2.855,2.570,-2.281,-2.668
2.597,2.797,2.267,-2.021,-2.642
2.157,2.999,2.765,-2.300,-3.047
2.996,2.951,2.502,-2.042,-3.116
2.192,2.795,2.571,-2.206,-2.784
2.211,2.878,2.316,-2.023,-2.626
2.467,2.666,2.245,-1.644,-2.926
2.370,2.582,2.151,-1.785,-2.542
2.443,3.062,2.637,-2.111,-3.037
2.007,3.122,2.414,-2.200,-2.715
2.756,2.595,2.771,-2.148,-2.737
2.859,2.490,2.314,-1.663,-2.865
2.458,2.406,2.392,-1.924,-2.527
2.620,2.766,2.537,-2.014,-2.665
2.866,2.672,2.375,-1.790,-2.682
2.188,3.016,2.823,-2.063,-3.147
2.792,2.987,2.347,-1.832,-2.901
2.307,2.555,2.835,-1.832,-3.129
2.416,2.551,2.526,-1.743,-2.876
2.602,2.812,1.985,-1.719,-2.507
2.570,3.094,2.226,-1.854,-2.661
2.444,3.211,2.165,-1.609,-2.996
2.387,2.756,2.296,-1.701,-2.892
2.321,3.315,2.046,-1.756,-2.772
2.769,2.972,2.181,-1.681,-2.974
2.850,2.949,1.992,-1.631,-2.728
2.284,3.150,2.681,-2.105,-2.826
2.659,2.517,2.639,-1.780,-2.729
2.160,2.621,2.332,-1.663,-2.763
2.390,2.197,2.415,-1.555,-2.407
2.764,2.965,2.358,-1.860,-2.613
2.314,2.675,2.501,-1.654,-2.867
2.954,2.668,2.327,-1.400,-2.991
2.496,2.419,2.671,-1.386,-3.326
2.619,2.721,1.990,-1.411,-2.690
2.229,2.983,1.838,-1.320,-2.862
2.808,2.902,3.118,-2.002,-3.043
2.591,2.831,2.450,-1.729,-2.683
2.696,3.059,2.352,-1.650,-2.925
2.448,2.958,2.451,-1.651,-2.971
2.749,3.178,2.484,-1.991,-2.574
2.252,2.543,2.380,-1.588,-2.543
2.456,2.472,2.859,-1.716,-2.780
2.714,2.728,2.499,-1.493,-3.032
2.490,2.659,2.839,-1.805,-2.675
2.805,2.925,2.517,-1.678,-2.644
1.972,2.162,2.581,-1.412,-2.373
2.503,2.959,2.536,-1.830,-2.565
2.829,2.447,2.521,-1.500,-2.641
2.671,2.572,2.204,-1.413,-2.660
2.209,2.723,2.609,-1.543,-2.750
2.535,2.815,3.012,-1.916,-2.754
1.949,2.859,2.341,-1.480,-2.774
2.086,2.768,2.746,-1.685,-2.762
2.210,2.907,2.693,-1.650,-2.926
2.802,2.676,2.554,-1.681,-2.472
2.663,2.956,2.527,-1.705,-2.603
2.487,3.042,2.555,-1.538,-3.052
2.483,3.048,2.112,-1.625,-2.408
2.709,3.184,2.188,-1.355,-2.911
2.219,2.828,3.242,-1.890,-2.965
2.593,2.705,2.641,-1.588,-2.498
2.237,3.064,2.754,-1.622,-3.113
2.242,2.233,2.340,-1.216,-2.550
2.547,2.596,2.161,-1.328,-2.299
2.156,2.646,1.888,-1.247,-2.357
2.769,2.815,2.603,-1.576,-2.731
2.360,2.914,2.977,-1.819,-2.608
2.565,2.912,2.741,-1.472,-2.763
2.529,3.119,2.780,-1.806,-2.423
2.309,2.783,2.353,-1.181,-2.852
2.023,2.646,2.714,-1.433,-2.811
2.639,2.567,3.060,-1.582,-2.682
2.137,2.707,2.754,-1.396,-2.971
2.302,2.743,2.551,-1.501,-2.572
2.562,2.894,2.826,-1.613,-2.912
2.476,2.706,2.695,-1.625,-2.436
2.293,2.628,2.396,-1.366,-2.496
2.599,2.051,3.134,-1.511,-2.671
2.218,2.197,2.936,-1.379,-2.552
2.499,2.940,3.072,-1.693,-2.673
2.533,2.776,2.784,-1.391,-2.859
2.387,2.624,2.655,-1.402,-2.480
2.180,2.713,1.997,-1.135,-2.430
2.442,2.698,2.206,-1.141,-2.434
2.234,3.129,2.527,-1.405,-2.692
2.154,2.890,2.925,-1.581,-2.594
2.906,2.674,2.451,-1.323,-2.457
2.659,2.974,2.882,-1.426,-2.825
2.940,2.579,2.316,-1.135,-2.620
2.113,2.298,2.475,-1.346,-2.237
2.461,2.820,2.843,-1.606,-2.407
2.780,2.403,3.086,-1.344,-2.685
2.737,1.839,2.934,-1.113,-2.622
2.401,3.417,2.399,-1.248,-2.842
1.931,2.504,2.147,-0.951,-2.495
2.235,2.840,2.985,-1.465,-2.753
2.611,2.873,2.943,-1.414,-2.820
2.060,2.669,3.008,-1.307,-2.751
2.446,2.727,2.575,-1.517,-2.129
3.395,2.620,2.997,-1.547,-2.511
2.895,2.890,2.990,-1.510,-2.571
1.937,2.506,2.709,-1.016,-2.837
2.449,2.833,3.010,-1.303,-2.947
2.435,3.119,2.780,-1.574,-2.450
2.268,2.481,2.321,-1.041,-2.356
2.201,2.860,2.842,-1.349,-2.482
2.676,2.794,2.905,-1.312,-2.648
2.500,2.636,2.406,-1.132,-2.390
2.435,2.451,2.892,-1.331,-2.557
2.546,2.253,2.817,-1.266,-2.305
2.528,3.174,2.941,-1.508,-2.668
2.613,2.985,2.180,-1.060,-2.365
1.582,2.631,2.811,-1.413,-2.223
3.104,2.942,2.870,-1.352,-2.568
2.201,2.744,3.087,-1.616,-2.212
2.480,2.661,2.750,-1.061,-2.711
2.573,3.112,3.469,-1.732,-2.711
2.340,3.288,2.739,-1.263,-2.659
2.214,3.057,3.102,-1.393,-2.686
2.097,2.441,2.674,-1.218,-2.424
2.459,2.454,3.309,-1.133,-2.813
2.462,2.699,3.036,-1.230,-2.745
2.592,2.854,3.054,-1.355,-2.568
2.477,2.842,2.512,-1.174,-2.496
1.947,2.026,2.870,-1.016,-2.408
2.443,3.179,3.034,-1.365,-2.670
2.896,2.881,3.165,-1.494,-2.491
1.991,2.868,2.489,-1.169,-2.317
2.740,2.641,2.680,-1.171,-2.309
2.408,3.492,3.121,-1.393,-2.699
3.278,3.302,2.450,-1.132,-2.316
2.220,2.426,2.130,-0.904,-2.023
2.809,2.710,2.600,-0.943,-2.628
1.943,2.529,2.604,-1.063,-2.222
2.709,2.842,3.115,-1.366,-2.314
1.895,2.233,2.131,-0.998,-1.823
2.346,2.688,3.121,-1.479,-2.239
1.910,2.368,2.550,-0.916,-2.357
2.240,3.321,2.460,-1.178,-2.277
3.382,2.709,3.123,-1.092,-2.790
2.561,2.940,2.912,-1.187,-2.359
2.139,2.832,2.594,-1.000,-2.392
1.905,2.043,2.238,-0.990,-1.827
2.428,2.638,3.540,-1.492,-2.319
1.894,2.734,2.711,-1.209,-2.166
2.158,2.176,1.979,-0.808,-2.010
1.791,1.796,1.890,-0.602,-1.867
1.655,2.312,3.467,-0.849,-3.110
2.045,2.927,2.456,-0.918,-2.200
2.186,2.517,3.170,-1.078,-2.568
1.980,2.898,3.192,-1.417,-2.146
2.495,2.689,3.021,-1.031,-2.608
2.632,2.849,3.024,-1.107,-2.525
2.648,2.921,3.009,-1.138,-2.483
2.094,2.430,2.909,-1.228,-2.174
2.906,2.615,3.383,-1.046,-2.756
2.078,2.894,2.577,-1.195,-2.118
2.279,2.886,2.889,-1.054,-2.407
2.192,2.969,2.643,-0.721,-2.618
2.442,2.898,3.163,-1.414,-2.188
2.784,3.088,2.790,-1.189,-2.155
2.187,3.098,3.149,-1.172,-2.519
2.997,2.787,2.803,-1.015,-2.348
1.931,2.517,2.410,-1.051,-1.828
1.896,2.655,2.382,-1.201,-1.752
2.267,2.752,2.029,-0.903,-1.876
2.419,2.741,2.880,-0.979,-2.370
1.954,3.008,3.153,-1.311,-2.233
2.124,2.649,2.810,-1.009,-2.296
2.648,3.129,3.130,-1.099,-2.461
2.480,2.604,3.202,-1.355,-1.979
1.996,2.522,2.955,-1.271,-2.038
2.326,2.090,2.660,-0.786,-2.169
3.060,2.891,2.418,-1.058,-1.838
2.450,2.802,2.661,-0.941,-2.227
2.043,2.087,3.337,-1.045,-2.325
2.577,2.459,2.396,-0.999,-1.827
2.241,3.220,3.490,-1.254,-2.379
2.728,2.611,2.710,-0.919,-2.075
2.724,3.065,3.347,-1.336,-2.187
2.217,2.352,3.054,-1.166,-1.984
2.210,3.107,2.432,-0.908,-1.964
2.120,2.880,2.300,-0.911,-1.969
1.918,2.069,2.574,-0.766,-2.192
2.702,2.728,3.202,-0.849,-2.433
2.411,2.266,2.588,-0.974,-1.810
2.236,2.963,2.649,-0.840,-2.149
2.498,2.329,2.072,-0.880,-1.661
2.472,2.653,3.274,-0.826,-2.685
2.256,2.250,2.814,-0.940,-1.932
2.585,3.572,3.165,-0.814,-2.769
2.588,2.825,3.645,-0.986,-2.597
2.104,3.031,3.451,-1.272,-2.056
2.639,2.826,2.724,-1.049,-2.024
1.997,1.870,2.328,-0.834,-1.638
1.925,2.365,2.378,-0.800,-1.880
2.629,3.270,2.884,-1.077,-2.241
2.279,2.507,2.655,-0.987,-1.737
1.856,2.180,2.649,-0.887,-1.861
2.228,3.140,3.340,-1.179,-2.159
2.764,2.922,2.808,-0.765,-2.343
1.694,2.623,2.310,-0.846,-1.764
2.172,2.063,2.655,-0.845,-1.855
1.719,2.156,2.405,-1.003,-1.465
1.881,2.347,2.699,-0.909,-1.886
1.799,2.726,2.457,-0.673,-1.942
3.006,2.733,3.754,-0.963,-2.540
2.259,2.615,3.235,-0.878,-2.305
2.498,2.715,2.867,-0.848,-2.016
2.991,2.937,3.051,-0.868,-2.185
1.521,3.155,3.187,-0.631,-2.713
2.798,3.356,3.277,-0.976,-2.373
1.944,2.225,2.892,-0.782,-2.116
2.345,3.148,3.077,-0.892,-2.401
3.252,2.416,2.622,-0.695,-1.816
2.059,2.018,2.045,-0.628,-1.494
2.188,2.712,2.753,-0.795,-2.123
1.959,2.258,2.855,-0.963,-1.804
2.522,2.760,2.650,-0.496,-2.202
2.461,2.717,2.821,-0.705,-2.055
2.272,2.524,3.043,-0.771,-2.089
1.972,3.260,3.370,-1.104,-2.237
1.655,2.138,2.557,-0.870,-1.770
2.168,2.618,2.353,-0.673,-1.760
2.064,2.287,3.183,-0.941,-1.884
1.872,2.185,1.954,-0.611,-1.486
1.426,2.220,2.471,-0.730,-1.660
2.014,2.387,2.696,-0.623,-2.131
1.848,2.109,2.615,-0.786,-1.689
2.678,2.242,3.169,-0.719,-1.952
2.168,2.413,3.443,-0.916,-2.066
2.092,2.592,2.456,-0.789,-1.736
1.662,2.315,2.485,-0.748,-1.396
2.441,2.799,3.272,-0.846,-2.080
1.880,1.818,2.765,-0.524,-1.797
2.074,2.274,2.776,-0.730,-1.896
1.566,2.953,3.110,-0.855,-1.973
2.121,2.583,2.664,-0.766,-2.022
2.278,2.251,3.222,-1.150,-1.601
2.572,2.423,2.490,-0.937,-1.416
2.366,2.801,2.033,-0.624,-1.627
2.217,2.044,2.311,-0.572,-1.677
2.063,2.856,2.767,-0.911,-1.766
1.964,2.201,2.554,-0.785,-1.465
2.084,2.455,2.579,-0.370,-2.209
2.354,2.385,2.785,-0.636,-2.058
2.602,3.358,2.656,-0.783,-1.911
2.538,2.697,2.875,-0.727,-1.910
2.286,2.551,2.301,-0.699,-1.595
2.263,2.118,2.255,-0.586,-1.511
2.562,1.923,3.275,-0.703,-1.938
2.212,2.054,3.156,-0.714,-1.742
2.707,2.616,3.421,-0.865,-2.000
2.075,2.283,3.016,-0.723,-1.893
2.086,2.442,3.375,-0.724,-2.040
1.413,1.416,2.351,-0.671,-1.150
2.024,2.253,3.614,-0.790,-2.005
1.738,1.915,1.574,-0.590,-1.178
1.589,1.874,1.727,-0.434,-1.334
2.125,2.761,2.954,-0.747,-1.654
1.534,2.232,2.481,-0.454,-1.698
1.510,1.827,2.503,-0.552,-1.494
1.528,1.530,1.791,-0.388,-1.099
1.877,2.393,2.961,-0.827,-1.547
1.098,2.019,1.900,-0.694,-1.105
1.642,1.931,1.475,-0.674,-0.978
1.932,2.341,2.596,-0.568,-1.639
1.805,1.779,2.093,-0.543,-1.212
2.707,2.761,2.403,-0.664,-1.686
1.543,1.882,1.779,-0.457,-1.172
1.476,1.906,2.877,-0.570,-1.872
1.987,2.843,2.919,-0.886,-1.689
2.545,2.887,3.018,-0.671,-1.929
2.104,2.927,2.869,-0.787,-1.709
1.885,2.597,2.616,-0.703,-1.495
1.595,2.311,2.477,-0.732,-1.419
2.625,2.727,2.841,-0.652,-1.856
1.800,2.377,2.236,-0.662,-1.328
1.324,1.724,1.469,-0.324,-1.252
2.283,2.506,2.471,-0.512,-1.752
1.604,1.847,2.569,-0.513,-1.592
1.033,1.458,1.232,-0.335,-1.015
2.074,2.781,2.392,-0.629,-1.461
1.935,1.966,2.049,-0.411,-1.405
2.242,2.797,2.902,-0.721,-1.737
1.595,2.515,2.426,-0.372,-1.707
1.139,2.817,2.478,-0.408,-1.878
1.988,1.795,2.749,-0.468,-1.671
1.154,1.907,1.838,-0.570,-1.225
1.386,1.394,1.955,-0.360,-1.135
2.072,2.048,2.402,-0.745,-1.119
1.760,2.166,2.996,-0.693,-1.614
2.058,2.356,2.854,-0.902,-1.234
2.040,1.962,2.890,-0.535,-1.615
2.307,2.776,2.960,-0.559,-1.909
2.226,2.076,2.965,-0.434,-1.781
1.854,2.288,2.866,-0.466,-1.708
2.442,3.290,3.109,-0.499,-1.959
2.126,1.852,2.943,-0.583,-1.440
2.575,2.032,2.808,-0.646,-1.401
2.019,2.090,2.346,-0.560,-1.425
1.944,2.122,1.761,-0.445,-1.287
3.060,2.592,3.710,-0.847,-1.807
1.697,3.013,3.076,-0.808,-1.488
1.187,1.428,2.677,-0.487,-1.432
1.564,2.411,2.358,-0.596,-1.393
1.641,2.710,2.706,-0.566,-1.510
1.894,2.427,2.611,-0.453,-1.647
1.773,2.008,2.551,-0.535,-1.262
1.028,1.616,2.276,-0.446,-1.220
1.926,2.104,2.328,-0.579,-1.336
1.738,2.257,2.428,-0.425,-1.421
1.940,2.409,2.734,-0.442,-1.528
1.049,1.283,1.130,-0.457,-0.566
1.801,1.939,2.308,-0.444,-1.284
1.380,1.930,1.864,-0.654,-0.898
2.375,3.388,3.473,-0.788,-1.778
1.722,1.597,2.146,-0.561,-1.008
1.694,2.121,2.675,-0.692,-1.309
1.929,2.212,2.641,-0.331,-1.644
1.960,2.072,2.237,-0.416,-1.417
2.027,2.827,3.066,-0.934,-1.222
1.505,2.264,2.849,-0.620,-1.327
0.818,1.257,1.523,-0.513,-0.642
2.427,2.926,3.427,-0.561,-1.887
2.059,2.859,2.791,-0.568,-1.447
1.674,1.691,1.343,-0.205,-1.079
1.446,2.444,2.685,-0.596,-1.424
2.412,2.576,3.412,-0.545,-1.605
2.164,2.580,2.639,-0.492,-1.312
1.956,2.136,2.735,-0.630,-1.391
1.607,2.231,2.515,-0.542,-1.224
2.332,2.608,2.323,-0.393,-1.344
1.374,1.716,1.648,-0.464,-0.827
2.238,2.565,2.512,-0.487,-1.407
1.487,2.401,1.117,-0.431,-0.887
